Date,Start hour,Annual member hires using a key
04/02/2012,14,163
04/02/2012,15,163
04/02/2012,16,165
04/02/2012,17,110
04/02/2012,18,91
04/02/2012,19,50
04/02/2012,20,32
04/02/2012,21,13
04/02/2012,22,10
04/02/2012,23,13
05/02/2012,0,17
05/02/2012,1,15
05/02/2012,2,15
05/02/2012,3,13
05/02/2012,4,8
05/02/2012,5,5
05/02/2012,6,4
05/02/2012,7,10
05/02/2012,8,19
05/02/2012,9,46
05/02/2012,10,50
05/02/2012,11,63
05/02/2012,12,65
05/02/2012,13,74
05/02/2012,14,76
05/02/2012,15,79
05/02/2012,16,80
05/02/2012,17,71
05/02/2012,18,61
05/02/2012,19,50
05/02/2012,20,31
05/02/2012,21,24
05/02/2012,22,21
05/02/2012,23,21
06/02/2012,0,11
06/02/2012,1,3
06/02/2012,2,1
06/02/2012,3,10
06/02/2012,4,2
06/02/2012,5,9
06/02/2012,6,129
06/02/2012,7,407
06/02/2012,8,822
06/02/2012,9,389
06/02/2012,10,134
06/02/2012,11,117
06/02/2012,12,150
06/02/2012,13,163
06/02/2012,14,170
06/02/2012,15,167
06/02/2012,16,294
06/02/2012,17,757
06/02/2012,18,677
06/02/2012,19,289
06/02/2012,20,166
06/02/2012,21,96
06/02/2012,22,64
06/02/2012,23,19
07/02/2012,0,13
07/02/2012,1,5
07/02/2012,2,1
07/02/2012,3,1
07/02/2012,4,2
07/02/2012,5,22
07/02/2012,6,145
07/02/2012,7,607
07/02/2012,8,1049
07/02/2012,9,460
07/02/2012,10,137
07/02/2012,11,152
07/02/2012,12,220
07/02/2012,13,215
07/02/2012,14,184
07/02/2012,15,181
07/02/2012,16,322
07/02/2012,17,763
07/02/2012,18,636
07/02/2012,19,312
07/02/2012,20,152
07/02/2012,21,94
07/02/2012,22,75
07/02/2012,23,33
08/02/2012,0,19
08/02/2012,1,7
08/02/2012,2,2
08/02/2012,3,1
08/02/2012,4,2
08/02/2012,5,22
08/02/2012,6,153
08/02/2012,7,522
08/02/2012,8,1011
08/02/2012,9,459
08/02/2012,10,163
08/02/2012,11,136
08/02/2012,12,191
08/02/2012,13,205
08/02/2012,14,157
08/02/2012,15,168
08/02/2012,16,287
08/02/2012,17,714
08/02/2012,18,604
08/02/2012,19,301
08/02/2012,20,156
08/02/2012,21,103
08/02/2012,22,80
08/02/2012,23,43
09/02/2012,0,16
09/02/2012,1,5
09/02/2012,2,5
09/02/2012,3,4
09/02/2012,4,5
09/02/2012,5,18
09/02/2012,6,127
09/02/2012,7,545
09/02/2012,8,1050
09/02/2012,9,432
09/02/2012,10,172
09/02/2012,11,158
09/02/2012,12,196
09/02/2012,13,201
09/02/2012,14,168
09/02/2012,15,190
09/02/2012,16,308
09/02/2012,17,695
09/02/2012,18,572
09/02/2012,19,290
09/02/2012,20,123
09/02/2012,21,67
09/02/2012,22,56
09/02/2012,23,29
10/02/2012,0,11
10/02/2012,1,11
10/02/2012,2,5
10/02/2012,3,2
10/02/2012,4,4
10/02/2012,5,12
10/02/2012,6,113
10/02/2012,7,381
10/02/2012,8,838
10/02/2012,9,379
10/02/2012,10,136
10/02/2012,11,123
10/02/2012,12,191
10/02/2012,13,190
10/02/2012,14,154
10/02/2012,15,179
10/02/2012,16,333
10/02/2012,17,673
10/02/2012,18,467
10/02/2012,19,222
10/02/2012,20,115
10/02/2012,21,61
10/02/2012,22,54
10/02/2012,23,43
11/02/2012,0,30
11/02/2012,1,22
11/02/2012,2,17
11/02/2012,3,9
11/02/2012,4,6
11/02/2012,5,6
11/02/2012,6,13
11/02/2012,7,36
11/02/2012,8,66
11/02/2012,9,89
11/02/2012,10,125
11/02/2012,11,167
11/02/2012,12,196
11/02/2012,13,187
11/02/2012,14,195
11/02/2012,15,191
11/02/2012,16,163
11/02/2012,17,127
11/02/2012,18,111
11/02/2012,19,82
